0,Homemade Manti (Traditional Turkish Dumplings)
1,Ashure
2,Easy 5-Ingredient Pumpkin Soup
3,Azeri Yogurt-Marinated Chicken Thighs
4,Turkish Halwa
5,Meze Fava Beans
6,Chicken Tava from Turkey
7,Tava or Turkish Stew
8,Cyprus Gyro Burger
9,Irmik Helvasi (Turkish Semolina Halva)
10,Pogaca (Feta Dumplings)
11,Turkish Red Lentil 'Bride' Soup
12,Chef John's Baklava
13,Manti (Turkish 'Ravioli' with Yogurt Sauce)
14,Ezogelin Soup (Vegan Turkish Soup with Lentils and Bulgur)
15,Turkish Stuffed Eggplant (Karniyarik)
16,Soldier Buttons
17,Veggie Bulgur Salad (Kisir)
18,Turkish Kebabs
19,Haydari (Turkish Yogurt Dip)
20,Turkish Coffee
21,Tava
22,Rose Water Gelees
23,Kobete Chicken
24,Zucchini Salad with Yogurt and Walnuts
25,Turkish Marinade
26,Simit (Turkish Sesame Bread Rings)
27,Vegan Turkish Freekeh Salad (Firik Salatasi)
28,Turkish Fish Stew
29,Vegan Turkish Red Lentil Soup
30,Antalyan Piyaz for Ramadan
31,Yogurt Soup
32,Ground Chicken With Walnuts
33,Pistachio-Walnut Baklava
34,Turkish Chicken Kebabs
35,Lamb Borek
36,Rose Water Turkish Delight
37,Iskender Kebab
38,Turkish Style Eggs
39,Lahmacun Turkish Pizza
40,Turkish Rissoles
41,Vegan Turkish Baked Eggplant
42,Turkish Red Lentil Soup with Mint
43,Easy Turkish Delight
44,Kadin Buddu Kofta (Turkish Meatballs)
45,Anatolian Bulgur Pilav
46,Ekmek Turkish Bread
47,Muhammara (Roasted Pepper & Walnut Spread)
48,Lentil Balls
49,Authentic Turkish Doner Kebab
50,Turkish Vegetarian Eggplant Appetizer with Garlic and Walnuts
51,Turkish Flatbread 
52,Arugula Salad with Sumac
53,Zucchini with Dill Weed and Garlic-Yogurt Sauce 
54,Turkish Walnut Soup
55,Roasted Red Pepper Salad
56,Bazlama - Turkish Flat Bread
57,Carrots and Lentils